y,x1,x2
-2.077,72,-74
-2.033,-52,54
-3.712,-46,64
-155.973,54,-35
52.129,-98,-74
8.891,-55,26
8.276,37,-18
-4.485,68,-93
498.548,-94,-12
24.399,-99,-94
3.297,28,98
2.299,32,-12
-33.971,67,36
-1.131,37,4
-2.227,-16,28
-4.069,53,-85
0.000,0,-18
0.000,-25,25
20.651,42,36
23.295,-70,-63
-10.977,59,11
35.151,-84,17
-3.124,-32,46
-1.692,-15,62
-3.019,30,-57
-6.660,-70,61
0.000,40,-40
23.043,91,87
13.370,-78,-99
7.128,32,-6
4.737,21,38
-85.331,96,56
6.372,-30,-48
-5.463,94,-86
63.041,-83,-60
7.276,27,2
-0.488,-4,63
-1.482,-43,44
-1.814,-19,89
9.207,-60,-94
0.265,-2,-59
3.820,-94,16
40.051,-77,45
2.120,-62,22
2.465,-3,-4
-2.627,-46,50
-3.438,-60,68
4.046,90,-10
18.197,87,93
-2.264,19,-24
