y,x1
64.670,83
-37.158,-70
-32.064,-15
89.337,80
36.161,27
-25.552,-69
35.653,94
-73.318,-28
-172.127,-92
73.318,28
172.127,92
62.656,42
15.703,24
86.405,35
-79.434,-34
-7.069,-19
-112.445,-67
-227.472,-85
-73.318,-28
-222.351,-98
36.316,21
-12.419,-31
-13.895,-32
-86.405,-35
26.611,45
-5.246,-13
15.703,24
-132.764,-53
123.754,54
-36.316,-21
-140.876,-90
3.294,7
9.300,18
-13.298,-20
8.074,3
-49.213,-87
86.405,35
79.434,34
79.434,34
155.517,60
45.773,95
-3.294,-7
-61.274,-29
19.050,50
25.552,69
86.405,35
32.064,15
-110.047,-41
179.343,66
22.384,9
