
Geração 0
Genotype	Phenotype	Fitness
111001		-25			506
110101		-21			342
000101		-24			462
001100		12			210
011001		-26			552
110001		-29			702
110100		11			182
000100		8			110
000111		-8			30
110111		-5			6

Geração 1
Genotype	Phenotype	Fitness
010001		-30			756
000111		-8			30
000101		-24			462
010111		-6			12
010110		26			812
110100		11			182
100110		25			756
000101		-24			462
001111		-4			2
000111		-8			30

Geração 2
Genotype	Phenotype	Fitness
000010		16			342
000111		-8			30
001101		-20			306
000111		-8			30
111101		-17			210
000111		-8			30
100111		-7			20
000111		-8			30
010000		2			20
010111		-6			12

Geração 3
Genotype	Phenotype	Fitness
111101		-17			210
010111		-6			12
011000		6			72
010000		2			20
000111		-8			30
000111		-8			30
010111		-6			12
000111		-8			30
000100		8			110
100111		-7			20

Geração 4
Genotype	Phenotype	Fitness
100111		-7			20
011101		-18			240
100111		-7			20
010111		-6			12
010000		2			20
010111		-6			12
010010		18			420
100111		-7			20
110111		-5			6
010111		-6			12

Geração 5
Genotype	Phenotype	Fitness
010110		26			812
011110		30			1056
010111		-6			12
010001		-30			756
010010		18			420
100111		-7			20
100110		25			756
110111		-5			6
010111		-6			12
010111		-6			12
ACHOU: -3
